title,Boss K,Chiale,Pourquoi est-ce que j'en ai quelque chose à faire ?
artist,KieLoBot,La Race,Monplaisir
composer,KieLoBot,La Race,Monplaisir
copyright info,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0: http://creativecommons.org/licenses/by-nc-nd/4.0/,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0: http://creativecommons.org/licenses/by-nc-nd/4.0/,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0: http://creativecommons.org/licenses/by-nc-nd/4.0/
genre,Soul-RnB,"Metal, Noise-Rock",Rock
source,http://freemusicarchive.org/music/KieLoBot/Hounds_of_Darkmoor/Boss_K_ID_30 ,http://freemusicarchive.org/music/La_Race/4_Cm_De_Mon_Amour/Chiale ,http://freemusicarchive.org/music/Monplaisir/GOOD/Monplaisir_-_GOOD_-_09_Pourquoi_est-ce_que_jen_ai_quelque_chose__faire_- 
file/audio format,MP3,MP3,mp3
number of channels,2,2,
sample rate,44100,44100,44100
bit per second,320 kbps,210 kbps,320 kbps
duration,0.00162037,0.003622685,0.001111111
xml:id,a1,a2,a3
